CustomerID,Name,Age,Gender,Income,Location,CreditScore,RiskProfile,RelationshipLength,MaritalStatus,AgeGroup,IncomeBracket,RiskScore,ProductCount,ActiveProductCount,ProductEngagementScore,AvgTransactionAmount,TransactionFrequency,AvgLoanAmount,AvgEMItoIncomeRatio,HighRiskLoan,LoanBurdenScore,SupportFrequency
0148fa1c-5a7d-48a3-925c-2b06ffc907ce,Dominique Bradshaw,49,Other,108074,Leeland,573,High,17,Divorced,Middle Aged,High,Medium,5,3.0,0.6,2105.35,11,0.0,0.0,0.0,0.0,1.0
9a82df3e-2406-4679-9dfc-e42f0888a627,Alicia Davis,26,Other,188870,Williamsonside,409,Low,13,Divorced,Young Adult,Very High,High,5,2.0,0.4,2864.6966666666667,9,464040.0,0.004166666666666667,0.0,1933.5,5.0
de8116f2-4303-4e09-b3ea-16cef2dafcb8,Brooke Estes,56,Male,97001,New Stacyborough,463,High,12,Single,Senior,High,High,5,1.0,0.2,2592.950909090909,11,823343.0,0.0037878745553189858,0.0,3118.72,4.0
ad3175a2-3c3c-4e6b-9008-9900673092a5,Ryan Harrell,58,Female,157205,Lake Emilyfort,462,Medium,15,Divorced,Senior,Very High,High,2,0.0,0.0,2252.98,7,0.0,0.0,0.0,0.0,2.0
c7c0c3ad-2259-4325-a779-60f89c0d7cc4,Christina Park,40,Male,194139,Port Kevin,538,High,18,Divorced,Middle Aged,Very High,Medium,5,2.0,0.4,2704.130833333333,12,0.0,0.0,0.0,0.0,3.0
79ac0f05-8a74-4d11-812a-16a963f7a60c,Troy Brandt,62,Other,82372,Paulhaven,819,Medium,1,Married,Senior,High,Low,4,1.0,0.25,2297.552222222222,9,0.0,0.0,0.0,0.0,1.0
e2a85496-f191-4e03-bb1f-1970f5ce85f1,Michael Butler,20,Other,63935,North Amber,713,Medium,10,Married,Youth,Medium,Low,3,2.0,0.6666666666666666,2533.031,10,0.0,0.0,0.0,0.0,2.0
f0d0f55f-cf61-40c7-93d3-2e2c96be05e1,James Castillo,68,Female,36326,Davisborough,612,High,11,Married,Elderly,Medium,Medium,1,0.0,0.0,2393.629,10,0.0,0.0,0.0,0.0,0.0
a6cb3d90-8017-4445-bffd-38ab53296743,Thomas Knight,18,Other,182223,Lake Beth,533,High,10,Married,Youth,Very High,Medium,1,1.0,1.0,3073.4171428571426,7,63038.0,0.008333386211491482,1.0,525.32,0.0
4bdff70e-1e11-4d7d-9060-d880ad86718c,Joseph Lloyd,47,Male,25629,North Ethanborough,360,High,13,Married,Middle Aged,Low,High,4,1.0,0.25,2527.6183333333333,6,0.0,0.0,0.0,0.0,4.0
